Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
"RT @BBCSport: Geraint Thomas just needs to roll over the line in Paris tomorrow to win the 2018 Tour de France.

He'll become the first Wel…",Sat Jul 28 15:30:28 +0000 2018,0.586,0.132,0.0,0.868,33
"Branded and beaten: The children accused of witchcraft and murder.
👉 https://t.co/0Lzx9wdLa1 https://t.co/Syvy5ca7QG",Sat Jul 28 15:04:06 +0000 2018,-0.866,0.0,0.427,0.573,34
🐾❤️ Heaven really is a place on Earth... https://t.co/hCE7MqzF2P,Sat Jul 28 14:06:01 +0000 2018,0.511,0.32,0.0,0.68,35
📖🥪 A brief history of the humble sarnie. https://t.co/25GXnqIXZy,Sat Jul 28 13:02:06 +0000 2018,0.0,0.0,0.0,1.0,36
"RT @bbcgetinspired: ""You can rise again, it's not as though one thing happens to you and that's the end of your story."" 

After being hit b…",Sat Jul 28 12:02:40 +0000 2018,0.0,0.0,0.0,1.0,37
RT @BBCScienceNews: Climate change made heatwave 'twice as likely' https://t.co/FQqzyhbiK4,Sat Jul 28 12:02:08 +0000 2018,0.0,0.0,0.0,1.0,38
"🧠 'Damaging your brain might not kill you, but can change your behaviour.'

Five fascinating facts about the human… https://t.co/XLoaV7C1uM",Sat Jul 28 11:03:04 +0000 2018,0.716,0.271,0.082,0.647,39
"RT @BBCWorld: Simply stunning!

The longest #BloodMoon eclipse of the 21st Century as seen around the world

https://t.co/aHwGkVc3OP https:…",Sat Jul 28 10:46:22 +0000 2018,0.439,0.138,0.0,0.862,40
Need to clean your headphone socket? Check out this #TechHack. https://t.co/RDtpHt03ZX,Sat Jul 28 10:05:04 +0000 2018,0.402,0.213,0.0,0.787,41
"📚🌍 With classic and contemporary choices perfectly matched to destinations all over the world, here's your ultimate… https://t.co/fsadf3W3rU",Sat Jul 28 09:03:03 +0000 2018,0.637,0.198,0.0,0.802,42
🛌 Namastay in bed! https://t.co/s2J2Uf4U99,Sat Jul 28 08:02:06 +0000 2018,0.0,0.0,0.0,1.0,43
🐶 Hearing dogs can save a life. https://t.co/bTcvuvGYJt,Sat Jul 28 07:05:02 +0000 2018,0.494,0.314,0.0,0.686,44
A pair of beavers are being released into the Forest of Dean with the hope they'll help prevent flooding in the are… https://t.co/wD23PTQUPg,Fri Jul 27 18:01:08 +0000 2018,0.691,0.261,0.0,0.739,45
RT @bbcpress: Stellar cast and creative team unveiled for @BBCOne adaptation of @PhilipPullman's #HisDarkMaterials: https://t.co/4Bm3OIaXCH…,Fri Jul 27 17:47:28 +0000 2018,0.44,0.172,0.0,0.828,46
🎅🎄😂 Too soon? https://t.co/L368bWE3t5,Fri Jul 27 17:02:03 +0000 2018,0.0,0.0,0.0,1.0,47
When your boss is looking for you but it's after 5pm... 👋 #FridayFeeling https://t.co/J3NZSVi7jj,Fri Jul 27 15:59:00 +0000 2018,0.649,0.235,0.0,0.765,48
"👀 Who's excited to see the #BloodMoon tonight? 
#LunarEclipse https://t.co/jhx3zLDOTS",Fri Jul 27 15:16:01 +0000 2018,0.34,0.211,0.0,0.789,49
"👃💐 How teenage perfumes smell to you - an actual adult.
👉 https://t.co/PCRmoujpVJ https://t.co/P0tmdqfbUC",Fri Jul 27 13:01:03 +0000 2018,0.0,0.0,0.0,1.0,50
"RT @BBCEarth: Just a seal getting a good tummy-rub from a diver, no biggie 😍

#OurBluePlanet with @Sealdiver https://t.co/L8yAINvPdJ",Fri Jul 27 12:50:53 +0000 2018,0.572,0.245,0.091,0.664,51
😳 This man wants people to stop pretending to have sex with his hedge. https://t.co/VbuY1xtbQ1,Fri Jul 27 12:24:44 +0000 2018,-0.202,0.08,0.125,0.795,52
RT @BBCClick: The @BBCProms projection show at the Royal Albert Hall had lights so strong that planes were told not to fly over it! https:/…,Fri Jul 27 12:14:56 +0000 2018,0.674,0.159,0.0,0.841,53
⛷🐶 This is one way to keep dogs cool in the heat! https://t.co/ObXmR8febC,Fri Jul 27 12:00:18 +0000 2018,0.38,0.178,0.0,0.822,54
"🔬 From 'the God particle' to our ability to observe gravitational waves, here are 7 extraordinary things science ha… https://t.co/j4tgSCx3vl",Fri Jul 27 11:02:04 +0000 2018,0.527,0.206,0.0,0.794,55
"👀🌝 Skywatchers will be treated to the longest ""blood moon"" eclipse of the century tonight, with the totality period… https://t.co/w1Eoi6fA9R",Fri Jul 27 09:51:01 +0000 2018,0.0,0.0,0.0,1.0,56
RT @bbccomedy: British or American Stand-up? 🤔🇬🇧🇺🇸 https://t.co/HBxD8YmCSZ,Fri Jul 27 09:38:09 +0000 2018,0.0,0.0,0.0,1.0,57
😂 A Scottish three year old's take on the summer holidays. https://t.co/SaCbnnlnUm,Fri Jul 27 08:00:16 +0000 2018,0.67,0.315,0.094,0.591,58
❤️📝 A teenager who attached uplifting messages to a bridge to help people facing a mental health crisis has helped… https://t.co/gGO3mXQkkd,Fri Jul 27 07:26:02 +0000 2018,-0.34,0.118,0.18,0.702,59
💔 @BoyGeorge discovers that in 1919 his grandmother was found wandering the streets alone as a 6 year old child.… https://t.co/CmyXz2oGYr,Fri Jul 27 07:01:03 +0000 2018,-0.625,0.0,0.221,0.779,60
"After being abused on dating apps for having HIV, Joe has turned to art to help combat the stigma. 
(via @BBCThree) https://t.co/b6mar28jBl",Thu Jul 26 19:02:05 +0000 2018,-0.459,0.099,0.208,0.693,61
"Tonight, a team of inventors attempt to change the lives of three inspiring people with very different problems. 💡… https://t.co/L7yN0qkCNz",Thu Jul 26 18:02:07 +0000 2018,-0.046,0.123,0.131,0.746,62
A dog called Minnie has been reunited with her owners two years after thieves stole a truck she was sleeping in. 🐶… https://t.co/CzeVkauFSx,Thu Jul 26 17:01:06 +0000 2018,-0.511,0.0,0.142,0.858,63
"RT @bbcpress: Late for the first game of @BBCMOTD, missed the first dance on #Strictly or tuned in halfway through #EastEnders? Pushing the…",Thu Jul 26 16:11:16 +0000 2018,-0.296,0.0,0.091,0.909,64
"😀♥️ Four-year-old Daniel and 91-year-old Stuart, who has dementia, have struck up an unlikely friendship.  https://t.co/DVpVhIssTc",Thu Jul 26 16:02:03 +0000 2018,0.226,0.153,0.106,0.741,65
RT @bbcweather: It is officially the hottest day of the year so far in the UK with temperatures soaring to 35C in west London. https://t.co…,Thu Jul 26 15:40:44 +0000 2018,0.0,0.0,0.0,1.0,66
"""I would like to do it all over again. There was a war on but otherwise it was absolutely wonderful."" ❤️️

Remember… https://t.co/1cSKgxW5gF",Thu Jul 26 13:01:05 +0000 2018,-0.178,0.072,0.101,0.826,67
"😮 You don't want to get between two fighting kangaroos!
#LifeStory https://t.co/xX95kVkWJU",Thu Jul 26 12:02:06 +0000 2018,-0.461,0.0,0.236,0.764,68
"A record number of primary school children are leaving school severely obese, according to new figures from Public… https://t.co/nmc8w0pnGW",Thu Jul 26 11:00:16 +0000 2018,-0.402,0.064,0.148,0.788,69
"RT @BBCEngland: The last living female pilot from World War Two, Mary Ellis, has died aged 101 at her home on the Isle of Wight https://t.c…",Thu Jul 26 08:45:35 +0000 2018,-0.818,0.0,0.238,0.762,70
"This school is tackling their single-use plastic problem one lunchbox at a time.
#PlasticsAction https://t.co/dBJBC46C06",Thu Jul 26 08:00:00 +0000 2018,-0.402,0.0,0.172,0.828,71
We call violence an ‘epidemic’ – and there is reason to take that literally... treating it like an infectious disea… https://t.co/871oH89IB6,Thu Jul 26 07:28:06 +0000 2018,-0.382,0.102,0.167,0.732,72
"♨️😴 Having trouble sleeping in this heatwave?
#HeatwaveUK https://t.co/N8Nstm5gC7",Thu Jul 26 07:01:02 +0000 2018,-0.402,0.0,0.252,0.748,73
"Colin Firth stars in an award-winning adaptation of Jane Austen's classic romance. 📚😍

Pride and Prejudice |… https://t.co/bgxyIt8i5g",Wed Jul 25 19:02:00 +0000 2018,0.402,0.247,0.136,0.617,74
"From @rosskemp to @sirpatstew: these are the ultimate Extras celebrity cameos. 😂

https://t.co/MzLh704sPC",Wed Jul 25 18:02:05 +0000 2018,0.44,0.184,0.092,0.725,75
"Is this Africa’s most inventive neighbourhood? 💡🌿🥑

https://t.co/xgeQCMM1XP",Wed Jul 25 16:02:05 +0000 2018,0.0,0.0,0.0,1.0,76
"Researchers have found evidence of an existing body of liquid water on Mars.
👉 https://t.co/cmykUjdfxy https://t.co/F45qHNXcOR",Wed Jul 25 14:37:40 +0000 2018,0.0,0.0,0.0,1.0,77
RT @BBCWthrWatchers: On Friday night you may see the moon turn red during a total lunar eclipse. Lasting 1 hr 40 mins it will be the longes…,Wed Jul 25 13:57:01 +0000 2018,0.0,0.0,0.0,1.0,78
"💉 A jab that protects against a virus that causes cervical cancer will be given to boys aged 12 to 13 in England.
👉… https://t.co/joOj8vMupR",Wed Jul 25 13:02:05 +0000 2018,-0.477,0.083,0.159,0.758,79
"RT @bbcpress: 🤣 Want to write comedy? Want a six-month bursary to train and develop your skills at the BBC?
⏰ TIME IS RUNNING OUT! The dead…",Wed Jul 25 12:40:25 +0000 2018,0.676,0.24,0.064,0.696,80
